Date,Open,High,Low,Close,Adj Close,Volume
2018-02-23,1521.000000,1550.000000,1498.025024,1538.449951,1380.534180,593338
2018-02-26,1539.050049,1542.375000,1513.500000,1517.625000,1361.846924,99870
2018-02-27,1524.974976,1538.900024,1517.500000,1521.625000,1365.436401,95542
2018-02-28,1520.000000,1531.175049,1511.675049,1519.125000,1363.192871,202686
2018-03-01,1520.500000,1530.000000,1510.974976,1518.550049,1362.677124,56560
2018-03-05,1534.500000,1556.224976,1518.025024,1552.150024,1392.827881,221630
2018-03-06,1566.500000,1566.500000,1515.324951,1524.900024,1368.375122,98618
2018-03-07,1527.500000,1544.875000,1512.125000,1514.625000,1359.154663,162102
2018-03-08,1530.000000,1530.000000,1491.949951,1500.750000,1346.703735,113716
2018-03-09,1507.000000,1529.974976,1489.275024,1517.250000,1361.510376,210212
2018-03-12,1517.500000,1540.000000,1517.500000,1525.925049,1369.294922,142190
2018-03-13,1464.000000,1464.500000,1442.050049,1446.224976,1297.775635,4395838
2018-03-14,1448.000000,1462.500000,1437.525024,1443.050049,1294.926636,271416
2018-03-15,1445.574951,1451.199951,1428.824951,1434.574951,1287.321533,325626
2018-03-16,1434.375000,1435.000000,1402.500000,1412.750000,1267.736816,262176
2018-03-19,1420.349976,1422.500000,1410.025024,1414.425049,1269.240234,222384
2018-03-20,1413.724976,1435.000000,1410.349976,1429.574951,1282.834473,107408
2018-03-21,1430.125000,1441.000000,1422.500000,1427.300049,1280.793579,199524
2018-03-22,1428.000000,1435.000000,1412.500000,1414.974976,1269.733643,97270
2018-03-23,1403.349976,1415.500000,1400.000000,1408.224976,1263.676147,193700
2018-03-26,1408.349976,1411.449951,1391.150024,1406.525024,1262.150635,296360
2018-03-27,1410.050049,1434.500000,1410.050049,1420.925049,1275.072632,75910
2018-03-28,1419.500000,1437.000000,1413.775024,1424.650024,1278.415527,164114
2018-04-02,1422.500000,1455.000000,1422.500000,1451.449951,1302.464355,101468
2018-04-03,1450.000000,1463.574951,1446.500000,1454.050049,1304.797729,68598
2018-04-04,1461.500000,1466.650024,1445.974976,1453.525024,1304.326172,75234
2018-04-05,1457.775024,1481.000000,1457.775024,1478.574951,1326.805298,130186
2018-04-06,1470.500000,1480.675049,1463.500000,1474.849976,1323.462524,42414
2018-04-09,1475.000000,1481.500000,1457.500000,1460.574951,1310.652832,46454
2018-04-10,1469.500000,1477.925049,1462.550049,1465.925049,1315.453491,59978
2018-04-11,1475.000000,1513.449951,1473.599976,1507.750000,1352.985718,184910
2018-04-12,1507.750000,1575.000000,1505.074951,1568.650024,1407.634155,1843550
2018-04-13,1574.500000,1619.000000,1565.550049,1575.500000,1413.781128,283872
2018-04-16,1566.000000,1599.500000,1554.025024,1592.400024,1428.946411,235726
2018-04-17,1595.000000,1595.000000,1574.650024,1582.949951,1420.466431,92720
2018-04-18,1586.474976,1594.900024,1573.650024,1579.750000,1417.594604,104790
2018-04-19,1587.500000,1607.500000,1583.150024,1595.324951,1431.571167,204144
2018-04-20,1625.099976,1710.625000,1622.500000,1703.199951,1528.373169,1543910
2018-04-23,1714.500000,1778.500000,1700.000000,1707.599976,1532.321533,1011632
2018-04-24,1706.474976,1721.750000,1672.949951,1692.824951,1519.063354,390992
2018-04-25,1692.500000,1740.750000,1683.000000,1733.949951,1555.966797,443866
2018-04-26,1735.500000,1780.000000,1734.500000,1770.175049,1588.473877,301996
2018-04-27,1770.000000,1771.574951,1724.650024,1727.400024,1550.089355,214912
2018-04-30,1727.500000,1773.500000,1719.099976,1765.699951,1584.457764,184786
2018-05-02,1766.500000,1780.000000,1737.800049,1748.900024,1569.382446,129712
2018-05-03,1751.000000,1763.925049,1737.500000,1741.324951,1562.585083,145044
2018-05-04,1741.000000,1752.000000,1735.650024,1740.425049,1561.777344,93992
2018-05-07,1741.125000,1745.000000,1710.050049,1713.849976,1537.930298,126844
2018-05-08,1716.000000,1743.974976,1699.425049,1720.525024,1543.920044,202564
2018-05-09,1724.500000,1747.224976,1721.500000,1744.525024,1565.456543,99586
2018-05-10,1745.500000,1754.724976,1723.000000,1726.375000,1549.169434,123642
2018-05-11,1727.500000,1743.750000,1723.199951,1730.300049,1552.691528,70336
2018-05-14,1732.000000,1739.925049,1708.000000,1718.375000,1541.990356,603792
2018-05-15,1727.000000,1747.250000,1718.449951,1741.224976,1562.494995,79148
2018-05-16,1740.000000,1754.974976,1737.500000,1747.775024,1568.372925,58254
2018-05-17,1757.925049,1764.900024,1737.500000,1746.349976,1567.094116,96268
2018-05-18,1744.925049,1759.000000,1731.250000,1751.175049,1571.423828,52170
2018-05-21,1760.000000,1795.925049,1755.000000,1778.974976,1596.370483,136672
2018-05-22,1779.000000,1787.500000,1747.500000,1754.025024,1573.981445,103528
2018-05-23,1764.000000,1772.474976,1741.400024,1748.525024,1569.046021,90694
2018-05-24,1750.000000,1807.500000,1750.000000,1802.400024,1617.390869,192390
2018-05-25,1809.500000,1837.000000,1786.400024,1794.724976,1610.503296,169150
2018-05-28,1800.550049,1809.000000,1744.000000,1751.900024,1572.074585,263160
2018-05-29,1756.000000,1774.750000,1745.550049,1761.349976,1580.554321,205762
2018-05-30,1760.000000,1766.250000,1742.300049,1758.875000,1578.333496,309140
2018-05-31,1742.300049,1758.699951,1726.099976,1744.800049,1578.718262,156722
2018-06-01,1758.000000,1760.000000,1719.000000,1732.250000,1567.362671,117215
2018-06-04,1751.699951,1752.000000,1712.900024,1744.550049,1578.491821,242609
2018-06-05,1745.000000,1752.599976,1713.449951,1721.199951,1557.364380,104701
2018-06-06,1724.699951,1735.300049,1716.300049,1727.250000,1562.838623,383083
2018-06-07,1725.400024,1748.500000,1725.400024,1734.599976,1569.489014,118908
2018-06-08,1736.000000,1757.500000,1736.000000,1748.199951,1581.794189,402906
2018-06-11,1747.000000,1763.449951,1742.800049,1750.599976,1583.965820,58160
2018-06-12,1756.000000,1784.949951,1753.500000,1781.000000,1611.472046,152861
2018-06-13,1815.000000,1832.000000,1800.000000,1824.199951,1650.560181,353957
2018-06-14,1839.000000,1840.000000,1785.000000,1792.250000,1621.651245,313381
2018-06-15,1801.000000,1849.000000,1791.000000,1841.449951,1666.168335,765529
